City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,constantia,44.1833,28.65,16.5,79,99,2.45,RO,1686871662
158,jamestown,42.097,-79.2353,20.01,67,0,2.06,US,1686871662
159,afaahiti,-17.75,-149.2833,28.93,82,89,8.9,PF,1686871662
160,smara,26.7384,-11.6719,21.82,67,3,5.56,EH,1686871663
161,cam ranh,11.9214,109.1591,28.98,74,20,2.06,VN,1686871663
162,palmer,42.1584,-72.3287,25.78,52,40,4.12,US,1686871663
163,kavieng,-2.5744,150.7967,27.62,80,80,4.39,PG,1686871663
164,maridi,4.9158,29.4742,20.0,87,46,1.65,SS,1686871523
165,nuku'alofa,-21.1333,-175.2,25.19,65,75,4.12,TO,1686871663
166,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1686871663
167,okha,53.5739,142.9478,4.51,97,100,7.69,RU,1686871664
168,thinadhoo,0.5333,72.9333,28.66,73,98,6.28,MV,1686871664
169,torghay,49.6339,63.4981,17.76,56,66,3.98,KZ,1686871664
170,hasaki,35.7333,140.8333,24.05,84,37,4.59,JP,1686871664
171,port lincoln,-34.7333,135.8667,13.03,49,1,9.59,AU,1686871664
172,magadan,59.5667,150.8,8.09,93,100,1.21,RU,1686871664
173,revda,56.801,59.9303,7.94,79,0,1.4,RU,1686871665
174,lata,40.1629,-8.3327,21.07,79,100,1.1,PT,1686871665
175,pedregal,8.3667,-82.4333,27.93,85,82,2.24,PA,1686871665
176,whitehorse,60.7161,-135.0538,19.43,17,75,6.71,CA,1686871106
177,tralee,52.2704,-9.7026,15.04,95,53,1.72,IE,1686871665
178,nova olinda do norte,-3.8881,-59.0942,24.7,78,97,1.15,BR,1686871665
179,udachny,66.4167,112.4,10.25,70,59,8.45,RU,1686871665
180,rongelap,11.1635,166.8941,27.86,75,74,8.3,MH,1686871666
181,yerofey pavlovich,53.9667,121.9667,9.51,82,100,3.93,RU,1686871615
182,garhwa,24.1833,83.8167,30.89,34,16,2.22,IN,1686871666
183,asha,54.9973,57.2722,12.88,80,100,1.34,RU,1686871666
184,tura,25.5198,90.2201,22.59,99,74,2.14,IN,1686871666
185,fale old settlement,-9.3852,-171.2468,29.01,69,95,8.38,TK,1686871667
186,arteche,12.2645,125.4048,27.69,83,100,4.16,PH,1686871667
187,kudat,6.8837,116.8477,24.96,100,20,1.03,MY,1686871667
188,fort mcmurray,56.7268,-111.381,15.77,77,0,5.66,CA,1686871667
189,kimbe,-5.5502,150.1429,27.8,75,92,1.93,PG,1686871392
190,novyy urgal,51.0736,132.5642,15.98,66,13,0.53,RU,1686871667
191,north saanich,48.6663,-123.4193,20.83,57,75,5.66,CA,1686871667
192,aykhal,66.0,111.5,7.01,82,71,9.07,RU,1686871668
193,st. john's,47.5649,-52.7093,9.38,94,75,5.66,CA,1686871568
194,west island,-12.1568,96.8225,26.99,89,40,7.91,CC,1686871668
195,san luis de la loma,17.2706,-100.8939,31.66,61,33,3.94,MX,1686871668
196,usinsk,65.9939,57.5281,2.2,76,39,11.38,RU,1686871668
197,betio village,1.358,172.9211,32.02,76,97,6.09,KI,1686871668
198,mtwara,-10.2667,40.1833,21.49,90,61,2.65,TZ,1686871669
199,port elizabeth,-33.918,25.5701,13.39,99,14,3.13,ZA,1686871669
